"Stkcd","Stknme","Annctime","Type","Suspdate","Resmdate","Timeperd"
"002263","大东南","2017-04-24","1","2017-04-24","2017-10-26","500.00"
"002263","大东南","2017-11-16","1","2017-11-16","2017-12-14","80.00"
"002263","大东南","2017-12-18","1","2017-12-18","2018-01-02","40.00"
"002263","大东南","2018-01-25","1","2018-01-25","2018-02-08","40.00"
"002263","大东南","2018-02-26","1","2018-02-26","2018-08-28","504.00"
"002263","*ST 东南","2019-05-06","1","2019-05-06","2019-06-28","152.00"
"002263","*ST 东南","2020-06-02","1","2020-06-02","2020-06-03","4.00"
"002264","新华都","2017-05-10","1","2017-05-10","2017-08-29","308.00"
"002264","新华都","2017-09-13","1","2017-09-13","2017-09-27","40.00"
"002264","新华都","2017-10-12","1","2017-10-12","2017-10-16","8.00"
"002264","新华都","2017-10-24","1","2017-10-24","2017-10-27","12.00"
"002265","西仪股份","2016-10-20","1","2016-10-20","2016-10-28","24.00"
"002266","浙富控股","2019-03-12","1","2019-03-12","2019-03-26","40.00"
"002266","浙富控股","2020-01-16","1","2020-01-16","2020-01-17","4.00"
"002267","陕天然气","2016-11-29","1","2016-11-29","2016-12-01","8.00"
"002267","陕天然气","2017-08-15","1","2017-08-15","2017-08-16","4.00"
"002270","华明装备","2017-03-20","1","2017-03-20","2017-04-20","84.00"
"002270","华明装备","2018-05-03","1","2018-05-03","2018-07-03","168.00"
"002270","华明装备","2020-07-13","1","2020-07-13","2020-07-27","40.00"
"002274","华昌化工","2016-06-13","1","2016-06-13","2016-07-07","72.00"
"002278","神开股份","2016-07-27","1","2016-07-27","2016-10-14","200.00"
"002278","神开股份","2017-04-24","1","2017-04-24","2017-04-25","4.00"
"002278","神开股份","2017-10-31","1","2017-10-31","2017-11-13","36.00"
"002278","神开股份","2018-02-02","1","2018-02-02","2018-02-23","40.00"
"002279","久其软件","2017-11-10","1","2017-11-10","2017-11-17","20.00"
"002282","博深工具","2016-10-10","1","2016-10-10","2017-04-21","524.00"
"002282","博深工具","2017-09-08","1","2017-09-08","2017-09-18","24.00"
"002282","博深股份","2019-08-26","1","2019-08-26","2019-09-09","40.00"
"002282","博深股份","2020-04-30","1","2020-04-30","2020-05-08","12.00"
"002282","博深股份","2020-07-15","1","2020-07-15","2020-07-16","4.00"
"002285","世联行","2017-10-09","1","2017-10-09","2017-10-16","20.00"
"002285","世联行","2019-12-02","1","2019-12-02","2019-12-16","40.00"
"002285","世联行","2020-07-29","1","2020-07-29","2020-08-05","20.00"
"002286","保龄宝","2016-07-11","1","2016-07-11","2016-07-18","20.00"
"002286","保龄宝","2017-01-09","1","2017-01-09","2017-01-23","40.00"
"002288","超华科技","2017-07-03","1","2017-07-03","2017-07-12","28.00"
"002288","超华科技","2018-02-06","1","2018-02-06","2018-02-27","38.00"
"002288","超华科技","2020-08-18","1","2020-08-18","2020-08-25","20.00"
"002291","星期六","2017-06-05","1","2017-06-05","2017-07-05","88.00"
"002291","星期六","2018-08-14","1","2018-08-14","2018-09-03","56.00"
"002291","星期六","2018-12-06","1","2018-12-06","2018-12-07","4.00"
"002295","精艺股份","2017-07-12","1","2017-07-12","2017-07-26","40.00"
"002297","博云新材","2016-06-20","1","2016-06-20","2017-01-04","536.00"
"002297","博云新材","2017-10-09","1","2017-10-09","2018-02-13","360.00"
"002299","圣农发展","2017-02-14","1","2017-02-14","2017-04-28","204.00"
"002299","圣农发展","2017-08-24","1","2017-08-24","2017-08-31","20.00"
"002300","太阳电缆","2017-01-16","1","2017-01-16","2017-01-18","8.00"
"002301","齐心集团","2018-02-02","1","2018-02-02","2018-07-09","404.00"
"002301","齐心集团","2018-10-22","1","2018-10-22","2018-11-19","80.00"
"002303","美盈森","2016-09-29","1","2016-09-29","2016-10-10","8.00"
"002305","南国置业","2020-06-08","1","2020-06-08","2020-06-22","40.00"
"002307","北新路桥","2019-03-05","1","2019-03-05","2019-03-19","40.00"
"002307","北新路桥","2020-04-22","1","2020-04-22","2020-04-23","4.00"
"002308","威创股份","2020-03-16","1","2020-03-16","2020-03-23","20.00"
"002309","中利集团","2018-02-05","1","2018-02-05","2018-07-30","460.00"
"002310","东方园林","2016-07-13","1","2016-07-13","2016-07-21","24.00"
"002310","东方园林","2016-12-12","1","2016-12-12","2016-12-13","4.00"
"002310","东方园林","2018-05-25","1","2018-05-25","2018-08-27","260.00"
"002310","东方园林","2019-07-30","1","2019-07-30","2019-08-06","20.00"
"002312","三泰控股","2017-03-31","1","2017-03-31","2017-07-24","304.00"
"002312","*ST 三泰","2017-11-13","1","2017-11-13","2018-05-07","460.00"
"002312","*ST 三泰","2018-05-08","1","2018-05-08","2018-05-09","4.00"
"002312","三泰控股","2020-08-27","1","2020-08-27","2020-09-02","16.00"
"002313","日海通讯","2016-06-20","1","2016-06-20","2016-07-04","40.00"
"002313","日海通讯","2017-12-08","1","2017-12-08","2017-12-22","40.00"
"002314","南山控股","2016-09-23","1","2016-09-23","2016-09-30","20.00"
"002314","南山控股","2018-01-18","1","2018-01-18","2018-01-25","20.00"
"002314","南山控股","2018-05-10","1","2018-05-10","2018-05-25","44.00"
"002316","键桥通讯","2016-11-10","1","2016-11-10","2017-05-22","512.00"
"002318","久立特材","2017-01-05","1","2017-01-05","2017-01-18","36.00"
"002320","海峡股份","2016-08-25","1","2016-08-25","2016-09-13","52.00"
"002320","海峡股份","2016-12-15","1","2016-12-15","2016-12-26","28.00"
"002321","华英农业","2017-11-30","1","2017-11-30","2017-12-12","32.00"
"002321","华英农业","2018-02-01","1","2018-02-01","2018-02-22","40.00"
"002321","华英农业","2018-02-26","1","2018-02-26","2018-03-26","80.00"
"002324","普利特","2020-08-07","1","2020-08-07","2020-08-10","4.00"
"002326","永太科技","2016-08-25","1","2016-08-25","2016-09-01","20.00"
"002330","得利斯","2017-08-14","1","2017-08-14","2017-08-17","12.00"
"002331","皖通科技","2017-05-02","1","2017-05-02","2017-09-21","400.00"
"002331","皖通科技","2017-12-14","1","2017-12-14","2017-12-21","20.00"
"002331","皖通科技","2018-12-10","1","2018-12-10","2018-12-14","16.00"
"002332","仙琚制药","2017-06-19","1","2017-06-19","2017-06-20","4.00"
"002335","科华恒盛","2016-12-16","1","2016-12-16","2017-03-27","260.00"
"002338","奥普光电","2016-11-11","1","2016-11-11","2016-12-29","136.00"
"002338","奥普光电","2019-05-27","1","2019-05-27","2019-06-04","24.00"
"002338","奥普光电","2019-12-26","1","2019-12-26","2019-12-27","4.00"
"002339","积成电子","2017-04-26","1","2017-04-26","2017-06-22","150.00"
"002340","格林美","2017-01-18","1","2017-01-18","2017-01-25","20.00"
"002341","新纶科技","2017-09-06","1","2017-09-06","2017-11-02","144.00"
"002341","新纶科技","2018-03-08","1","2018-03-08","2018-03-15","20.00"
"002342","巨力索具","2017-04-13","1","2017-04-13","2017-04-17","8.00"
"002342","巨力索具","2020-07-28","1","2020-07-28","2020-08-07","32.00"
"002343","慈文传媒","2019-02-20","1","2019-02-20","2019-02-27","20.00"
"002344","海宁皮城","2017-11-01","1","2017-11-01","2018-01-31","256.00"
"002344","海宁皮城","2018-06-07","1","2018-06-07","2018-06-14","20.00"
"002345","潮宏基","2017-12-20","1","2017-12-20","2018-04-16","300.00"
"002346","柘中股份","2017-01-04","1","2017-01-04","2017-01-06","8.00"
"002346","柘中股份","2017-02-03","1","2017-02-03","2017-02-17","40.00"
"002347","泰尔股份","2017-02-07","1","2017-02-07","2017-02-21","40.00"
"002347","泰尔股份","2017-09-26","1","2017-09-26","2017-10-10","18.00"
"002348","高乐股份","2017-05-11","1","2017-05-11","2017-07-27","212.00"
"002350","北京科锐","2017-05-10","1","2017-05-10","2017-05-17","20.00"
"002350","北京科锐","2018-05-18","1","2018-05-18","2018-05-28","24.00"
"002350","北京科锐","2020-07-02","1","2020-07-02","2020-07-03","4.00"
"002352","鼎泰新材","2016-06-08","1","2016-06-08","2016-06-14","8.00"
"002352","鼎泰新材","2016-09-29","1","2016-09-29","2016-10-12","16.00"
"002357","富临运业","2017-11-16","1","2017-11-16","2018-05-11","464.00"
"002357","富临运业","2018-06-11","1","2018-06-11","2018-06-26","40.00"
"002358","森源电气","2017-05-12","1","2017-05-12","2017-07-12","164.00"
"002358","森源电气","2017-12-07","1","2017-12-07","2018-03-07","232.00"
"002366","台海核电","2017-07-19","1","2017-07-19","2017-08-02","40.00"
"002366","台海核电","2017-12-06","1","2017-12-06","2018-05-07","392.00"
"002368","太极股份","2017-01-05","1","2017-01-05","2017-01-24","52.00"
"002368","太极股份","2017-06-15","1","2017-06-15","2017-06-22","20.00"
"002369","卓翼科技","2018-05-14","1","2018-05-14","2018-11-12","492.00"
"002370","亚太药业","2018-02-01","1","2018-02-01","2018-02-22","38.00"
"002373","千方科技","2017-08-21","1","2017-08-21","2017-11-28","264.00"
"002373","千方科技","2018-02-02","1","2018-02-02","2018-02-09","20.00"
"002374","丽鹏股份","2018-06-12","1","2018-06-12","2018-06-27","40.00"
"002376","新北洋","2016-11-25","1","2016-11-25","2016-12-06","28.00"
"002377","国创高新","2016-07-18","1","2016-07-18","2017-01-19","500.00"
"002377","国创高新","2017-05-10","1","2017-05-10","2017-05-17","20.00"
"002377","国创高新","2018-04-24","1","2018-04-24","2018-05-03","20.00"
"002379","*ST 鲁丰","2016-11-08","1","2016-11-08","2017-04-19","432.00"
"002379","鲁丰环保","2017-05-23","1","2017-05-23","2017-05-24","4.00"
"002381","双箭股份","2017-05-09","1","2017-05-09","2017-05-23","40.00"
"002382","蓝帆医疗","2017-07-24","1","2017-07-24","2018-01-08","456.00"
"002382","蓝帆医疗","2018-03-22","1","2018-03-22","2018-03-29","20.00"
"002383","合众思壮","2016-06-23","1","2016-06-23","2016-06-30","20.00"
"002383","合众思壮","2016-11-25","1","2016-11-25","2016-11-30","12.00"
"002383","合众思壮","2017-01-05","1","2017-01-05","2017-03-22","196.00"
"002383","合众思壮","2017-04-11","1","2017-04-11","2017-04-12","4.00"
"002384","东山精密","2018-01-23","1","2018-01-23","2018-05-14","280.00"
"002385","大北农","2018-11-26","1","2018-11-26","2018-12-03","20.00"
"002386","天原集团","2016-11-21","1","2016-11-21","2016-12-05","40.00"
"002387","黑牛食品","2016-08-30","1","2016-08-30","2016-09-14","42.00"
"002387","维信诺","2018-08-13","1","2018-08-13","2018-08-30","52.00"
"002388","新亚制程","2017-01-19","1","2017-01-19","2017-01-26","20.00"
"002388","新亚制程","2018-02-12","1","2018-02-12","2018-02-26","20.00"
"002389","南洋科技","2017-09-29","1","2017-09-29","2017-10-13","20.00"
"002390","信邦制药","2017-04-26","1","2017-04-26","2017-05-11","40.00"
"002390","信邦制药","2020-09-01","1","2020-09-01","2020-09-08","20.00"
"002392","北京利尔","2017-09-21","1","2017-09-21","2017-10-12","40.00"
"002396","星网锐捷","2016-09-12","1","2016-09-12","2017-02-21","412.00"
"002396","星网锐捷","2017-05-25","1","2017-05-25","2017-06-05","20.00"
"002398","建研集团","2017-10-16","1","2017-10-16","2018-03-15","408.00"
"002399","海普瑞","2017-04-28","1","2017-04-28","2017-09-26","416.00"
"002399","海普瑞","2017-12-21","1","2017-12-21","2017-12-28","20.00"
"002400","省广股份","2016-11-28","1","2016-11-28","2017-05-25","476.00"
"002402","和而泰","2018-02-02","1","2018-02-02","2018-03-01","56.00"
"002404","嘉欣丝绸","2016-09-06","1","2016-09-06","2016-09-19","28.00"
"002404","嘉欣丝绸","2017-11-27","1","2017-11-27","2017-11-29","6.00"
"002405","四维图新","2016-10-18","1","2016-10-18","2016-10-25","20.00"
"002407","多氟多","2017-02-20","1","2017-02-20","2017-02-21","4.00"
"002407","多氟多","2017-06-16","1","2017-06-16","2017-06-23","20.00"
"002408","齐翔腾达","2016-10-31","1","2016-10-31","2016-11-14","40.00"
"002408","齐翔腾达","2017-01-03","1","2017-01-03","2017-01-05","8.00"
"002408","齐翔腾达","2018-06-19","1","2018-06-19","2018-11-14","400.00"
"002409","雅克科技","2016-09-21","1","2016-09-21","2016-09-28","20.00"
"002409","雅克科技","2017-04-24","1","2017-04-24","2017-11-02","520.00"
"002409","雅克科技","2017-11-13","1","2017-11-13","2017-11-16","12.00"
"002409","雅克科技","2018-03-08","1","2018-03-08","2018-03-15","20.00"
"002411","必康股份","2016-11-21","1","2016-11-21","2016-11-28","20.00"
"002411","必康股份","2017-02-20","1","2017-02-20","2017-03-29","108.00"
"002411","必康股份","2018-06-19","1","2018-06-19","2018-09-19","264.00"
"002411","必康股份","2018-09-25","1","2018-09-25","2018-11-28","164.00"
"002412","汉森制药","2017-06-26","1","2017-06-26","2017-06-27","2.00"
"002413","雷科防务","2018-02-02","1","2018-02-02","2018-05-02","216.00"
"002413","雷科防务","2018-09-17","1","2018-09-17","2018-10-09","40.00"
"002413","雷科防务","2019-10-10","1","2019-10-10","2019-10-11","4.00"
"002415","海康威视","2019-10-08","1","2019-10-08","2019-10-10","8.00"
"002417","三元达","2017-01-23","1","2017-01-23","2017-02-13","40.00"
"002417","三元达","2017-03-15","1","2017-03-15","2017-08-01","376.00"
"002417","深南股份","2019-04-29","1","2019-04-29","2019-05-15","36.00"
"002423","*ST 中特","2016-11-08","1","2016-11-08","2016-11-22","40.00"
"002423","*ST 中特","2017-04-20","1","2017-04-20","2017-04-21","4.00"
"002423","中原特钢","2017-10-26","1","2017-10-26","2018-05-17","540.00"
"002423","中原特钢","2018-12-03","1","2018-12-03","2018-12-04","4.00"
"002423","中原特钢","2019-04-25","1","2019-04-25","2019-04-30","12.00"
"002425","凯撒文化","2017-12-28","1","2017-12-28","2018-01-22","64.00"
"002431","棕榈股份","2018-04-09","1","2018-04-09","2018-04-23","40.00"
"002431","棕榈股份","2018-05-30","1","2018-05-30","2018-08-30","260.00"
"002432","九安医疗","2016-06-20","1","2016-06-20","2016-07-13","68.00"
"002434","万里扬","2016-08-18","1","2016-08-18","2016-08-25","20.00"
"002435","长江润发","2016-07-15","1","2016-07-15","2016-07-26","28.00"
"002436","兴森科技","2018-06-14","1","2018-06-14","2018-09-20","276.00"
"002437","誉衡药业","2017-12-07","1","2017-12-07","2017-12-20","36.00"
"002437","誉衡药业","2018-02-08","1","2018-02-08","2018-05-22","256.00"
"002437","誉衡药业","2018-06-11","1","2018-06-11","2018-08-13","176.00"
"002438","江苏神通","2017-05-08","1","2017-05-08","2017-05-22","40.00"
"002438","江苏神通","2017-11-20","1","2017-11-20","2017-11-24","16.00"
"002438","江苏神通","2018-01-17","1","2018-01-17","2018-01-31","40.00"
"002439","启明星辰","2016-10-20","1","2016-10-20","2016-10-27","20.00"
"002439","启明星辰","2017-04-28","1","2017-04-28","2017-05-02","4.00"
"002440","闰土股份","2016-10-21","1","2016-10-21","2017-01-12","230.00"
"002442","龙星化工","2017-05-15","1","2017-05-15","2017-11-14","496.00"
"002442","龙星化工","2017-11-28","1","2017-11-28","2017-12-05","20.00"
"002442","龙星化工","2017-12-19","1","2017-12-19","2018-01-03","40.00"
"002442","龙星化工","2018-01-16","1","2018-01-16","2018-03-16","152.00"
"002443","金洲管道","2016-08-01","1","2016-08-01","2016-08-02","2.00"
"002443","金洲管道","2017-01-10","1","2017-01-10","2017-04-13","240.00"
"002451","摩恩电气","2018-02-05","1","2018-02-05","2018-06-05","308.00"
"002452","长高集团","2016-06-14","1","2016-06-14","2016-07-12","80.00"
"002453","天马精化","2017-09-08","1","2017-09-08","2017-09-22","40.00"
"002453","天马精化","2017-10-24","1","2017-10-24","2018-02-12","312.00"
"002453","华软科技","2019-10-28","1","2019-10-28","2019-11-11","40.00"
"002453","华软科技","2020-08-20","1","2020-08-20","2020-08-21","4.00"
"002456","欧菲光","2017-06-02","1","2017-06-02","2017-06-07","12.00"
"002456","欧菲光","2019-04-29","1","2019-04-29","2019-05-09","20.00"
"002458","益生股份","2016-11-16","1","2016-11-16","2016-11-29","36.00"
"002458","益生股份","2017-12-27","1","2017-12-27","2018-01-30","92.00"
"002459","天业通联","2018-07-19","1","2018-07-19","2018-11-05","284.00"
"002459","天业通联","2019-09-19","1","2019-09-19","2019-09-20","4.00"
"002460","赣锋锂业","2016-07-11","1","2016-07-11","2016-07-12","4.00"
"002460","赣锋锂业","2017-08-23","1","2017-08-23","2017-08-24","4.00"
"002462","嘉事堂","2016-09-28","1","2016-09-28","2017-01-12","280.00"
"002462","嘉事堂","2017-11-21","1","2017-11-21","2017-12-05","40.00"
"002464","金利科技","2016-07-12","1","2016-07-12","2016-10-17","248.00"
"002464","金利科技","2016-12-28","1","2016-12-28","2017-01-05","20.00"
"002464","金利科技","2017-01-23","1","2017-01-23","2017-07-26","488.00"
"002464","众应互联","2017-11-28","1","2017-11-28","2017-12-12","40.00"
"002464","众应互联","2018-02-02","1","2018-02-02","2018-07-31","468.00"
"002465","海格通信","2016-06-13","1","2016-06-13","2016-10-12","320.00"
"002465","海格通信","2017-02-23","1","2017-02-23","2017-03-03","24.00"
"002466","天齐锂业","2016-09-08","1","2016-09-08","2016-09-09","4.00"
"002466","天齐锂业","2017-12-18","1","2017-12-18","2017-12-26","24.00"
"002466","天齐锂业","2018-05-31","1","2018-05-31","2018-06-20","52.00"
"002466","天齐锂业","2019-12-18","1","2019-12-18","2019-12-26","24.00"
"002468","艾迪西","2016-10-18","1","2016-10-18","2016-10-25","20.00"
"002469","三维工程","2020-04-17","1","2020-04-17","2020-04-30","36.00"
"002469","三维工程","2020-10-28","1","2020-10-28","2020-10-29","4.00"
"002471","中超控股","2017-09-20","1","2017-09-20","2017-10-11","40.00"
"002471","中超控股","2018-02-06","1","2018-02-06","2018-02-27","40.00"
"002475","立讯精密","2017-08-31","1","2017-08-31","2017-09-01","4.00"
"002476","宝莫股份","2016-08-15","1","2016-08-15","2016-08-29","40.00"
"002477","雏鹰农牧","2018-06-14","1","2018-06-14","2018-09-13","256.00"
"002477","雏鹰农牧","2019-04-25","1","2019-04-25","2019-04-26","4.00"
"002477","*ST 雏鹰","2019-08-02","1","2019-08-02","2019-08-27","68.00"
"002477","雏鹰退","2019-10-16","2","2019-10-16","","-8888.00"
"002478","常宝股份","2016-08-25","1","2016-08-25","2016-12-21","308.00"
"002478","常宝股份","2017-07-06","1","2017-07-06","2017-07-13","20.00"
"002479","富春环保","2016-10-10","1","2016-10-10","2016-11-03","72.00"
"002480","新筑股份","2018-04-09","1","2018-04-09","2018-04-23","40.00"
"002482","广田集团","2016-11-17","1","2016-11-17","2016-12-16","84.00"
"002483","润邦股份","2019-01-31","1","2019-01-31","2019-02-21","40.00"
"002483","润邦股份","2019-12-10","1","2019-12-10","2019-12-11","4.00"
"002485","希努尔","2016-11-07","1","2016-11-07","2016-11-17","32.00"
"002485","希努尔","2017-05-31","1","2017-05-31","2017-06-14","40.00"
"002485","希努尔","2017-07-28","1","2017-07-28","2017-08-02","12.00"
"002485","希努尔","2018-06-06","1","2018-06-06","2018-11-13","428.00"
"002486","嘉麟杰","2016-10-10","1","2016-10-10","2016-10-31","60.00"
"002486","嘉麟杰","2017-02-28","1","2017-02-28","2017-09-27","584.00"
"002486","嘉麟杰","2017-10-26","1","2017-10-26","2017-10-27","4.00"
"002486","嘉麟杰","2019-07-23","1","2019-07-23","2019-08-06","40.00"
"002486","嘉麟杰","2019-10-22","1","2019-10-22","2019-10-23","4.00"
"002490","山东墨龙","2017-04-06","1","2017-04-06","2017-04-07","4.00"
"002490","*ST 墨龙","2018-04-13","1","2018-04-13","2018-04-16","4.00"
"002491","通鼎互联","2016-09-27","1","2016-09-27","2016-11-01","80.00"
"002491","通鼎互联","2016-12-22","1","2016-12-22","2017-01-03","28.00"
"002500","山西证券","2020-06-17","1","2020-06-17","2020-06-29","24.00"
"002504","弘高创意","2017-05-02","1","2017-05-02","2017-10-30","488.00"
"002504","*ST 弘高","2017-11-01","1","2017-11-01","2017-12-27","160.00"
"002504","*ST 弘高","2018-05-10","1","2018-05-10","2018-05-11","4.00"
"002505","大康农业","2016-09-02","1","2016-09-02","2016-09-05","4.00"
"002505","大康农业","2017-03-13","1","2017-03-13","2017-09-14","512.00"
"002505","大康农业","2017-12-21","1","2017-12-21","2017-12-22","4.00"
"002506","协鑫集成","2016-06-08","1","2016-06-08","2016-06-16","16.00"
"002506","协鑫集成","2018-04-27","1","2018-04-27","2018-05-14","36.00"
"002507","涪陵榨菜","2017-12-04","1","2017-12-04","2018-03-29","308.00"
"002509","天广中茂","2016-09-21","1","2016-09-21","2017-04-12","528.00"
"002509","天广中茂","2017-06-12","1","2017-06-12","2017-09-20","288.00"
"002509","天广中茂","2018-02-02","1","2018-02-02","2018-03-23","120.00"
"002509","天广中茂","2018-03-29","1","2018-03-29","2018-04-09","20.00"
"002509","天广中茂","2020-05-12","1","2020-05-12","2020-06-04","68.00"
"002509","天茂退","2020-07-20","2","2020-07-20","","-8888.00"
"002510","天汽模","2016-09-13","1","2016-09-13","2016-12-16","244.00"
"002510","天汽模","2017-03-16","1","2017-03-16","2017-03-31","44.00"
"002510","天汽模","2017-09-11","1","2017-09-11","2017-09-18","20.00"
"002510","天汽模","2020-11-24","1","2020-11-24","2020-11-26","8.00"
"002512","达华智能","2016-06-21","1","2016-06-21","2016-07-21","88.00"
"002512","达华智能","2017-07-31","1","2017-07-31","2017-08-14","40.00"
"002512","达华智能","2017-12-06","1","2017-12-06","2018-03-06","232.00"
"002512","达华智能","2018-06-19","1","2018-06-19","2018-11-19","412.00"
"002512","达华智能","2020-09-10","1","2020-09-10","2020-09-17","20.00"
"002514","宝馨科技","2019-04-15","1","2019-04-15","2019-04-18","12.00"
"002514","宝馨科技","2019-12-26","1","2019-12-26","2019-12-31","12.00"
"002515","金字火腿","2018-03-06","1","2018-03-06","2018-05-28","220.00"
"002515","金字火腿","2018-11-01","1","2018-11-01","2018-11-28","76.00"
"002516","旷达科技","2017-09-22","1","2017-09-22","2017-09-27","12.00"
"002517","恺英网络","2018-01-08","1","2018-01-08","2018-03-06","144.00"
"002520","日发精机","2017-11-23","1","2017-11-23","2018-06-11","528.00"
"002520","日发精机","2018-09-28","1","2018-09-28","2018-10-10","12.00"
"002521","齐峰新材","2016-09-19","1","2016-09-19","2016-09-20","4.00"
"002523","天桥起重","2017-12-22","1","2017-12-22","2018-03-22","232.00"
"002524","光正集团","2017-12-18","1","2017-12-18","2018-04-23","328.00"
"002526","山东矿机","2016-08-02","1","2016-08-02","2017-03-24","620.00"
"002526","山东矿机","2017-06-12","1","2017-06-12","2017-07-03","60.00"
"002526","山东矿机","2017-08-24","1","2017-08-24","2017-08-31","20.00"
"002528","英飞拓","2016-09-07","1","2016-09-07","2016-09-14","20.00"
"002528","英飞拓","2019-11-15","1","2019-11-15","2019-11-19","8.00"
"002530","丰东股份","2016-07-22","1","2016-07-22","2016-08-01","24.00"
"002531","天顺风能","2020-08-25","1","2020-08-25","2020-09-01","20.00"
"002532","新界泵业","2018-03-01","1","2018-03-01","2018-06-15","288.00"
"002532","新界泵业","2019-03-13","1","2019-03-13","2019-03-27","40.00"
"002532","新界泵业","2020-05-19","1","2020-05-19","2020-05-20","4.00"
"002533","金杯电工","2016-07-26","1","2016-07-26","2016-08-09","40.00"
"002533","金杯电工","2019-02-25","1","2019-02-25","2019-03-11","40.00"
"002533","金杯电工","2019-12-10","1","2019-12-10","2019-12-11","4.00"
"002538","司尔特","2016-10-11","1","2016-10-11","2016-10-24","36.00"
"002538","司尔特","2018-02-05","1","2018-02-05","2018-03-19","100.00"
"002540","亚太科技","2016-06-07","1","2016-06-07","2016-06-23","40.00"
"002542","中化岩土","2016-10-27","1","2016-10-27","2016-11-03","20.00"
"002542","中化岩土","2017-04-13","1","2017-04-13","2017-04-17","8.00"
"002542","中化岩土","2019-10-28","1","2019-10-28","2019-11-11","40.00"
"002544","杰赛科技","2017-06-08","1","2017-06-08","2017-06-15","20.00"
"002545","东方铁塔","2017-12-04","1","2017-12-04","2018-04-04","324.00"
"002547","春兴精工","2017-02-20","1","2017-02-20","2017-08-18","496.00"
"002548","金新农","2018-05-21","1","2018-05-21","2018-06-04","40.00"
"002552","宝鼎科技","2018-05-02","1","2018-05-02","2018-05-03","4.00"
"002552","*ST 宝鼎","2019-03-05","1","2019-03-05","2019-03-06","4.00"
"002552","宝鼎科技","2019-09-11","1","2019-09-11","2019-09-19","20.00"
"002552","宝鼎科技","2020-01-02","1","2020-01-02","2020-01-07","12.00"
"002553","南方轴承","2017-04-05","1","2017-04-05","2017-04-19","40.00"
"002553","南方轴承","2017-12-04","1","2017-12-04","2017-12-18","40.00"
"002554","惠博普","2019-04-30","1","2019-04-30","2019-05-10","20.00"
"002555","三七互娱","2016-09-30","1","2016-09-30","2016-10-19","32.00"
"002555","三七互娱","2017-02-16","1","2017-02-16","2017-02-24","24.00"
"002555","三七互娱","2017-08-29","1","2017-08-29","2017-09-05","20.00"
"002556","辉隆股份","2017-11-20","1","2017-11-20","2017-11-27","20.00"
"002556","辉隆股份","2019-08-19","1","2019-08-19","2019-09-02","40.00"
"002556","辉隆股份","2019-12-04","1","2019-12-04","2019-12-05","4.00"
"002558","世纪游轮","2016-07-13","1","2016-07-13","2016-11-01","288.00"
"002558","巨人网络","2018-08-06","1","2018-08-06","2018-08-13","20.00"
"002558","巨人网络","2018-09-17","1","2018-09-17","2018-11-06","120.00"
"002560","通达股份","2016-10-11","1","2016-10-11","2016-10-25","40.00"
"002560","通达股份","2018-03-16","1","2018-03-16","2018-03-30","40.00"
"002562","兄弟科技","2016-11-22","1","2016-11-22","2016-12-06","40.00"
"002562","兄弟科技","2017-01-19","1","2017-01-19","2017-02-07","32.00"
"002564","天沃科技","2016-09-05","1","2016-09-05","2016-11-14","172.00"
"002565","上海绿新","2016-10-20","1","2016-10-20","2016-10-26","16.00"
"002566","益盛药业","2016-08-26","1","2016-08-26","2016-08-30","8.00"
"002567","唐人神","2016-12-22","1","2016-12-22","2017-01-03","28.00"
"002567","唐人神","2017-06-05","1","2017-06-05","2017-08-14","200.00"
"002570","贝因美","2017-07-12","1","2017-07-12","2017-09-05","156.00"
"002570","贝因美","2018-04-26","1","2018-04-26","2018-04-27","4.00"
"002570","*ST 因美","2019-04-17","1","2019-04-17","2019-04-18","4.00"
"002571","德力股份","2016-08-02","1","2016-08-02","2017-02-28","548.00"
"002571","德力股份","2017-04-24","1","2017-04-24","2017-04-25","4.00"
"002571","*ST 德力","2017-04-28","1","2017-04-28","2017-06-08","104.00"
"002571","*ST 德力","2017-11-13","1","2017-11-13","2017-11-27","40.00"
"002571","*ST 德力","2018-02-07","1","2018-02-07","2018-02-14","20.00"
"002571","*ST 德力","2018-04-09","1","2018-04-09","2018-04-10","4.00"
"002573","清新环境","2018-06-19","1","2018-06-19","2018-10-11","304.00"
"002573","清新环境","2019-04-23","1","2019-04-23","2019-04-30","20.00"
"002574","明牌珠宝","2016-06-27","1","2016-06-27","2016-11-07","352.00"
"002576","通达动力","2016-06-14","1","2016-06-14","2016-12-12","488.00"
"002576","通达动力","2017-01-23","1","2017-01-23","2018-01-02","920.00"
"002578","闽发铝业","2016-10-12","1","2016-10-12","2017-04-13","492.00"
"002578","闽发铝业","2018-03-16","1","2018-03-16","2018-04-16","76.00"
"002579","中京电子","2016-12-05","1","2016-12-05","2017-03-01","224.00"
"002579","中京电子","2017-11-16","1","2017-11-16","2018-02-05","224.00"
"002579","中京电子","2018-02-08","1","2018-02-08","2018-02-13","12.00"
"002579","中京电子","2019-05-13","1","2019-05-13","2019-05-24","36.00"
"002579","中京电子","2019-09-19","1","2019-09-19","2019-09-20","4.00"
"002580","圣阳股份","2016-09-30","1","2016-09-30","2016-10-12","12.00"
"002580","圣阳股份","2017-11-10","1","2017-11-10","2018-04-25","440.00"
"002580","圣阳股份","2018-11-13","1","2018-11-13","2018-11-27","40.00"
"002580","圣阳股份","2020-08-12","1","2020-08-12","2020-08-14","8.00"
