"Stkcd","Stknme","Annctime","Type","Suspdate","Resmdate","Timeperd"
"000058","深赛格","2016-11-09","1","2016-11-09","2016-11-16","20.00"
"000058","深赛格","2017-11-13","1","2017-11-13","2017-11-15","8.00"
"000061","农产品","2017-06-28","1","2017-06-28","2017-09-27","260.00"
"000061","农产品","2018-10-30","1","2018-10-30","2018-11-13","40.00"
"000062","深圳华强","2016-11-08","1","2016-11-08","2016-11-21","36.00"
"000062","深圳华强","2016-12-28","1","2016-12-28","2016-12-30","8.00"
"000062","深圳华强","2017-01-16","1","2017-01-16","2017-01-23","20.00"
"000062","深圳华强","2017-07-20","1","2017-07-20","2017-07-24","8.00"
"000062","深圳华强","2019-05-28","1","2019-05-28","2019-06-12","40.00"
"000063","中兴通讯","2017-03-08","1","2017-03-08","2017-03-16","24.00"
"000063","中兴通讯","2017-04-20","1","2017-04-20","2017-04-25","12.00"
"000063","中兴通讯","2018-04-17","1","2018-04-17","2018-06-13","156.00"
"000065","北方国际","2016-09-21","1","2016-09-21","2016-09-28","20.00"
"000066","长城电脑","2016-07-29","1","2016-07-29","2016-08-05","20.00"
"000066","长城电脑","2016-11-01","1","2016-11-01","2016-11-23","64.00"
"000088","盐田港","2020-08-11","1","2020-08-11","2020-08-19","24.00"
"000090","天健集团","2019-10-28","1","2019-10-28","2019-11-04","20.00"
"000099","中信海直","2017-05-04","1","2017-05-04","2017-11-02","492.00"
"000100","TCL集团","2016-08-04","1","2016-08-04","2016-12-19","360.00"
"000100","TCL集团","2017-04-21","1","2017-04-21","2017-07-26","260.00"
"000100","TCL集团","2017-09-07","1","2017-09-07","2017-09-21","40.00"
"000100","TCL科技","2020-09-17","1","2020-09-17","2020-09-18","4.00"
"000151","中成股份","2018-03-19","1","2018-03-19","2018-03-21","8.00"
"000153","丰原药业","2017-01-16","1","2017-01-16","2017-07-12","468.00"
"000155","川化股份","2018-06-14","1","2018-06-14","2018-06-15","4.00"
"000155","川能动力","2020-05-25","1","2020-05-25","2020-06-08","40.00"
"000156","华数传媒","2017-12-26","1","2017-12-26","2018-06-26","476.00"
"000156","华数传媒","2019-10-21","1","2019-10-21","2019-10-31","32.00"
"000156","华数传媒","2020-09-16","1","2020-09-16","2020-09-17","4.00"
"000158","常山北明","2018-01-10","1","2018-01-10","2018-01-11","4.00"
"000158","常山北明","2018-05-30","1","2018-05-30","2018-06-11","32.00"
"000166","申万宏源","2016-12-21","1","2016-12-21","2017-01-26","100.00"
"000301","东方市场","2017-03-13","1","2017-03-13","2017-10-09","560.00"
"000301","东方市场","2017-11-30","1","2017-11-30","2017-12-08","24.00"
"000301","东方市场","2018-06-07","1","2018-06-07","2018-06-28","56.00"
"000333","美的集团","2016-06-16","1","2016-06-16","2016-06-17","2.00"
"000333","美的集团","2018-09-10","1","2018-09-10","2018-10-29","116.00"
"000333","美的集团","2019-02-20","1","2019-02-20","2019-02-21","4.00"
"000333","美的集团","2019-05-08","1","2019-05-08","2019-05-22","40.00"
"000338","潍柴动力","2016-06-20","1","2016-06-20","2016-06-22","8.00"
"000401","冀东水泥","2017-04-13","1","2017-04-13","2017-04-17","8.00"
"000401","冀东水泥","2017-11-21","1","2017-11-21","2018-01-15","152.00"
"000401","冀东水泥","2018-04-20","1","2018-04-20","2018-05-02","24.00"
"000401","冀东水泥","2018-09-07","1","2018-09-07","2018-09-10","4.00"
"000401","冀东水泥","2018-10-25","1","2018-10-25","2018-10-30","12.00"
"000403","ST 生化","2017-06-21","1","2017-06-21","2017-09-21","262.00"
"000403","ST 生化","2017-12-06","1","2017-12-06","2017-12-14","24.00"
"000403","ST 生化","2018-11-21","1","2018-11-21","2018-11-22","4.00"
"000403","双林生物","2020-04-28","1","2020-04-28","2020-05-15","40.00"
"000403","双林生物","2020-11-25","1","2020-11-25","2020-11-26","4.00"
"000404","华意压缩","2017-05-19","1","2017-05-19","2017-05-31","24.00"
"000407","胜利股份","2017-03-08","1","2017-03-08","2017-03-22","40.00"
"000411","英特集团","2016-12-27","1","2016-12-27","2017-01-11","40.00"
"000413","东旭光电","2016-07-25","1","2016-07-25","2016-07-27","8.00"
"000413","东旭光电","2017-01-25","1","2017-01-25","2017-03-28","156.00"
"000413","东旭光电","2017-08-17","1","2017-08-17","2017-08-25","24.00"
"000413","东旭光电","2019-11-19","1","2019-11-19","2019-12-10","60.00"
"000415","渤海金控","2016-09-23","1","2016-09-23","2016-12-22","236.00"
"000415","渤海金控","2018-01-17","1","2018-01-17","2018-07-17","476.00"
"000416","民生控股","2016-09-30","1","2016-09-30","2016-11-02","72.00"
"000418","小天鹅A","2018-09-10","1","2018-09-10","2018-10-29","116.00"
"000418","小天鹅A","2019-02-20","1","2019-02-20","2019-02-21","4.00"
"000418","小天鹅A","2019-05-08","1","2019-05-08","","-9666.00"
"000418","小天鹅A","2019-06-19","2","2019-06-21","","-8888.00"
"000420","吉林化纤","2018-06-15","1","2018-06-15","2018-06-28","32.00"
"000425","徐工机械","2016-11-29","1","2016-11-29","2016-12-13","40.00"
"000426","兴业矿业","2016-09-21","1","2016-09-21","2016-09-28","20.00"
"000426","兴业矿业","2018-06-19","1","2018-06-19","2018-08-27","196.00"
"000488","晨鸣纸业","2017-06-16","1","2017-06-16","2017-06-19","4.00"
"000498","山东路桥","2016-06-20","1","2016-06-20","2016-07-04","40.00"
"000498","山东路桥","2017-08-16","1","2017-08-16","2017-08-17","3.70"
"000498","山东路桥","2019-12-10","1","2019-12-10","2019-12-24","40.00"
"000498","山东路桥","2020-08-19","1","2020-08-19","2020-08-20","4.00"
"000502","绿景控股","2017-05-24","1","2017-05-24","2017-06-09","40.00"
"000502","绿景控股","2018-06-01","1","2018-06-01","2018-06-22","56.00"
"000502","绿景控股","2020-03-02","1","2020-03-02","2020-03-16","40.00"
"000503","海虹控股","2016-09-29","1","2016-09-29","2016-10-17","28.00"
"000503","海虹控股","2017-05-11","1","2017-05-11","2017-12-04","560.00"
"000503","海虹控股","2018-02-06","1","2018-02-06","2018-02-22","28.00"
"000503","海虹控股","2018-03-01","1","2018-03-01","2018-03-06","12.00"
"000503","国新健康","2019-03-22","1","2019-03-22","2019-04-08","40.00"
"000505","珠江控股","2017-05-18","1","2017-05-18","2017-05-19","4.00"
"000505","珠江控股","2017-06-22","1","2017-06-22","2017-06-29","20.00"
"000505","珠江控股","2017-12-15","1","2017-12-15","2017-12-18","4.00"
"000505","京粮控股","2019-07-15","1","2019-07-15","2019-07-22","20.00"
"000505","京粮控股","2020-03-25","1","2020-03-25","2020-03-26","4.00"
"000506","中润资源","2016-12-12","1","2016-12-12","2016-12-26","40.00"
"000506","中润资源","2017-04-25","1","2017-04-25","2017-10-25","492.00"
"000506","中润资源","2018-02-09","1","2018-02-09","2018-02-23","20.00"
"000506","中润资源","2018-02-28","1","2018-02-28","2018-06-25","312.00"
"000507","珠海港","2017-11-29","1","2017-11-29","2017-12-06","20.00"
"000507","珠海港","2020-07-27","1","2020-07-27","2020-07-30","12.00"
"000510","金路集团","2016-07-21","1","2016-07-21","2016-08-11","60.00"
"000511","*ST 烯碳","2017-05-02","1","2017-05-02","2018-06-05","1072.00"
"000511","*ST 烯碳","2017-07-05","3","2017-07-06","2018-06-05","892.00"
"000511","*ST 烯碳","2018-07-18","2","2018-07-18","","-8888.00"
"000513","丽珠集团","2017-04-14","1","2017-04-14","2017-04-20","16.00"
"000516","国际医学","2016-12-05","1","2016-12-05","2017-05-09","408.00"
"000516","国际医学","2018-01-02","1","2018-01-02","2018-04-17","272.00"
"000517","荣安地产","2016-06-14","1","2016-06-14","2016-07-14","88.00"
"000519","江南红箭","2016-09-21","1","2016-09-21","2016-09-28","20.00"
"000520","长航凤凰","2016-12-28","1","2016-12-28","2017-01-12","38.00"
"000521","美菱电器","2018-05-09","1","2018-05-09","2018-05-11","8.00"
"000523","广州浪奇","2018-04-13","1","2018-04-13","2018-07-06","228.00"
"000524","岭南控股","2016-12-15","1","2016-12-15","2016-12-22","20.00"
"000526","紫光学大","2016-12-02","1","2016-12-02","2016-12-12","22.00"
"000526","紫光学大","2017-03-20","1","2017-03-20","2017-06-15","232.00"
"000526","*ST 紫学","2017-10-16","1","2017-10-16","2018-01-10","244.00"
"000526","*ST 紫学","2018-03-22","1","2018-03-22","2018-10-12","540.00"
"000526","紫光学大","2018-10-19","1","2018-10-19","2018-10-26","20.00"
"000531","穗恒运A","2016-08-29","1","2016-08-29","2017-01-09","348.00"
"000531","穗恒运A","2017-07-20","1","2017-07-20","2017-07-27","20.00"
"000531","穗恒运A","2017-11-10","1","2017-11-10","2017-11-20","24.00"
"000533","万家乐","2016-09-09","1","2016-09-09","2016-11-24","188.00"
"000533","万家乐","2016-12-29","1","2016-12-29","2017-01-12","36.00"
"000533","万家乐","2018-01-30","1","2018-01-30","2018-04-02","156.00"
"000534","万泽股份","2016-07-11","1","2016-07-11","2016-10-11","236.00"
"000534","万泽股份","2017-03-29","1","2017-03-29","2017-04-07","20.00"
"000534","万泽股份","2018-01-26","1","2018-01-26","2018-05-25","304.00"
"000534","万泽股份","2018-10-22","1","2018-10-22","2018-12-03","120.00"
"000537","广宇发展","2017-08-17","1","2017-08-17","2017-08-25","24.00"
"000538","云南白药","2016-07-19","1","2016-07-19","2016-12-30","444.00"
"000538","云南白药","2017-04-25","1","2017-04-25","2017-04-27","8.00"
"000538","云南白药","2018-09-19","1","2018-09-19","2018-11-23","164.00"
"000538","云南白药","2019-02-28","1","2019-02-28","2019-03-01","4.00"
"000538","云南白药","2019-05-16","1","2019-05-16","2019-05-29","36.00"
"000540","中天城投","2016-11-28","1","2016-11-28","2017-01-03","100.00"
"000540","中天金融","2017-08-21","1","2017-08-21","2019-01-02","1332.00"
"000543","皖能电力","2018-08-30","1","2018-08-30","2018-09-13","40.00"
"000543","皖能电力","2019-03-25","1","2019-03-25","2019-03-26","4.00"
"000545","金浦钛业","2018-06-11","1","2018-06-11","2018-11-13","416.00"
"000545","金浦钛业","2019-07-26","1","2019-07-26","2019-07-29","4.00"
"000546","金圆股份","2016-06-16","1","2016-06-16","2016-07-12","72.00"
"000547","航天发展","2017-10-30","1","2017-10-30","2018-03-29","408.00"
"000547","航天发展","2018-11-14","1","2018-11-14","2018-11-15","4.00"
"000551","创元科技","2016-06-07","1","2016-06-07","2016-07-07","80.00"
"000553","沙隆达A","2017-05-25","1","2017-05-25","2017-06-02","16.00"
"000555","神州信息","2016-08-25","1","2016-08-25","2016-09-02","24.00"
"000555","神州信息","2017-07-05","1","2017-07-05","2017-12-15","448.00"
"000555","神州信息","2018-03-08","1","2018-03-08","2018-03-15","20.00"
