"Stkcd","Stknme","Listdt","Crcd","Listexg","Regadd","Regplc"
"900931","水仙B","1993-01-06","600625","1","上海浦东金桥出口加工区纬三路25号街坊","上海市"
"900932","陆家B股","1993-06-28","600663","1","上海市浦东南路2111号","上海市"
"900933","华新B股","1994-01-03","600801","1","湖北省黄石市黄石大道897号","湖北省黄石市"
"900934","新亚B股","1994-12-15","600754","1","上海市浦电路389号12楼","上海市"
"900935","金泰B","1995-07-27","","1","上海嘉定区安亭洛浦路45号","上海市"
"900936","鄂绒B股","1995-10-20","600295","1","内蒙古东胜市达拉特南路102号","内蒙古自治区鄂尔多斯市"
"900937","龙电B股","1996-04-22","600726","1","黑龙江省哈尔滨市香坊区高新技术开发区12号楼B座","黑龙江省哈尔滨市"
"900938","天海B股","1996-04-30","600751","1","天津市和平区吴家窑河沿路金泉里13号","天津市"
"900939","汇丽B股","1996-06-28","","1","上海市浦东康桥工业区","上海市"
"900940","华源B股","1996-07-26","600094","1","上海市浦东陆家嘴66号招商局大厦31楼","上海市　"
"900941","东信B股","1996-08-09","600776","1","浙江省杭州市文三路80－84号","浙江省杭州市"
"900942","黄山B股","1996-11-22","600054","1","安徽省黄山市黄山风景区温泉","安徽省黄山市"
"900943","开开B股","1997-01-08","600272","1","中国上海西康路379号","上海市"
"900945","海航B股","1997-06-26","600221","1","海南省海口市机场路168号","海南省海口市"
"900946","轻骑B股","1993-12-06","600698","1","山东省济南市历下区和平路34号","山东省济南市"
"900947","振华B股","1997-08-05","600320","1","上海市浦东南路3470号","上海市"
"900948","伊煤B股","1997-08-08","","1","内蒙古鄂尔多斯市东胜区鄂尔多斯西街","内蒙古自治区鄂尔多斯市"
"900949","东电B股","1997-09-23","","1","浙江省杭州市凤起路147号","浙江省杭州市"
"900950","五菱B股","1997-10-16","","1","江苏省常州市武进区湖塘人民东路158号高新开发区经创中心","江苏省常州市"
"900951","大化B股","1997-10-21","","1","辽宁省大连市甘井子区工兴路10号","辽宁省大连市"
"900952","锦港B股","1998-05-19","600190","1","锦州经济技术开发区锦港大街1段1号","辽宁省锦州市"
"900953","凯马B股","1998-06-24","","1","上海市浦东新区张杨路655号","上海市"
"900955","茉织B股","1999-01-18","600555","1","上海市延安中路841号东方海外大厦8楼","上海市"
"900956","东贝B股","1999-07-15","","1","湖北省黄石市铁山区武黄路5号","湖北省黄石市"
"900957","凌云B股","2000-07-28","","1","上海市浦东新区东方路877号嘉兴大厦18楼","上海市"
